study_time_hours,exam_result
6.85,65.4
6.33,84.8
6.19,79.1
4.65,57.3
7.21,88.2
4.72,66.7
2.98,67.6
1.57,53.3
6.5,86.3
2.97,57.2
6.33,74.5
7.86,100
3.19,55.9
2.73,49.7
1.36,53.3
3.8,69.6
5.23,66.8
2.5,37.8
3.89,80.2
4.3,77.2
2.2,42.5
0.19,38.9
1.72,43
6.43,100
2.22,39.8
0.11,28
3.4,68.4
5.46,67
6.02,81
3.31,78
4.57,86.2
5.96,73.9
7.11,71.8
5.12,54.5
5.53,80.3
0.79,37.6
3.36,45.6
7.11,96.1
1.29,19.7
2.48,50.6
5.42,47.8
7.22,97.5
0.47,45
6.96,96.4
1.76,22.9
6.89,76.4
7.11,79.6
6.2,71
7.39,100
7.69,90.6
7.4,50.8
4.11,67
3.71,80
0.84,61.5
1.73,27
5.22,96
1.02,57.9
7.54,72.6
1.82,65.9
0.7,31.3
1.88,41.1
0.39,25.5
1.33,26.7
4.7,57
2.31,74.3
6.41,75.5
3.24,68.8
5.71,62.7
5.67,76.3
1.09,45.7
0.45,53.5
6.74,78.1
5.61,100
1.4,59.4
5.44,70.5
2.64,73.7
0.45,42.9
1.83,56.4
6.05,76.6
3.13,47.4
4.36,76
1.09,19.599
0.74,69.5
1.91,36.7
3.78,56.1
6.78,81.5
6.11,100
1.28,35.6
0.57,38.1
1.8,80.9
6.82,82.3
4.13,64.6
6.46,52.8
2.96,44.4
4.72,78.2
4.76,59.9
5.01,74.8
3.76,45
1.91,64.7
3.43,57.3
7.8,96.3
2.18,32.1
5.8,97.9
7.56,87
4.53,61.9
3.91,59.1
0.97,63.8
6.03,61.3
7.29,79.4
7.85,100
1.61,32
7.36,85.9
2.96,49
4.95,77.6
1.79,37.3
1.99,61.9
4.95,62
3.88,52.3
7.72,82.5
2.12,30.3
7.02,57.6
3.68,39.7
1.08,62.1
1.91,55
6.05,69.7
6.61,54.5
0.32,38.1
3.28,60.8
3.95,72.2
4.92,71.3
5.2,66.6
6.64,58.3
2.19,60.4
0.9,45.4
1.49,61.6
7.49,87.8
4.37,67
1.75,39.9
6.29,59.5
4.7,62.4
2.94,50.1
0.15,52.2
6.26,84.5
5.74,79.8
2.1,38.8
2.12,62.6
2.17,37
5.36,67
2.35,59.2
2.48,27.2
3.01,64.7
7.84,97.1
3.68,53.1
3.02,72.5
3.76,93.8
5.75,72.7
7.07,89.4
7.91,73.7
3.89,77
3.68,81.5
2.64,39.5
6.23,84.9
5.24,71.5
2.91,71
4.15,46.7
1.65,66.7
5.55,85.8
2.02,48.3
2.8,62.4
0.54,23.1
1.76,68.1
1.56,34.7
5.88,52.9
5.56,88.4
4.31,64.7
3.1,43.7
7.12,85.4
7.07,88.9
4.82,70.9
5.26,78.5
6.37,70.8
5.78,82.2
1.8,52.4
4.03,50.4
1.22,56
6.48,59.4
5.23,91.5
7.83,62.6
1.09,23.6
4.08,52.6
5.79,100
6.94,64.4
6.83,80.5
1.62,40.7
7.86,74.5
7.85,100
7.75,86.7
4.91,83
6.66,59.7
0.61,62.5
2.04,32.9
0.74,38.9
4.04,60.6
7.72,91.9
5.19,87.4
3.69,56.6
6.34,67.7
4.4,63.1
3.66,46
5.03,67.5
4.09,81.5
5.13,72.3
6.42,89.9
3.7,49.7
3.32,68.2
4.47,77.2
7.24,75.2
3.38,61.7
6.78,70.2
4.94,64.8
0.1,60
3.81,56.2
1.68,31
1.2,50.3
1.88,38.9
5.7,57.6
5.02,61.1
4.29,56.1
3.96,59.8
3.11,59.7
7.09,69.4
7.46,85.2
6.12,100
2.31,32.2
7.31,72.4
6.55,77.9
0.99,50.4
2.73,59.5
2.62,64
5.84,66.8
4.19,59.7
2.14,68
1.85,64.2
3.66,67.3
5.33,63.5
4.07,77.1
2.09,62.5
4.96,100
7.91,73.8
1.41,53.2
4.23,91.6
3.01,43.6
1.75,52.2
7,97.6
7.66,62.4
2.8,53
2.78,37.1
0.73,32.3
4.94,74.9
0.21,46.7
3.97,59
1.22,38.9
5.38,74.8
7.43,90.5
0.71,39.5
6.22,100
6.64,89.9
1.41,67.9
7.38,82.3
4.97,55.5
4.28,47.9
5.37,83.9
2.3,48.8
0.2,44.9
3.54,45.6
5.95,79.1
7.35,75.6
3.44,58
2.11,34.3
1.05,48.2
7.48,97.1
1.85,25.2
7.29,74.7
1.47,25.6
0.15,50.1
1.79,44
3.94,53.7
2.79,39.4
7.26,100
4.36,59.4
0.94,42.3
5,47.4
3.11,39.1
5.43,61.5
6.29,76.8
7.88,94.1
4.61,65.6
2.93,60.3
3.47,71.6
3.22,52.3
3.6,48.5
0.24,26.5
1.98,37
7.9,90.6
7.42,95.5
0.39,28.1
7.84,100
6.34,92.7
0.08,19.599
7.31,73.3
7.68,100
5.03,64.5
6.31,61.6
2.66,55.3
4.58,56.4
5.85,74.9
4.49,78.8
2.44,47.3
5.19,62.1
6.71,88.8
6.69,80.9
1.06,29.2
3.56,63.7
0.31,45.2
5.06,70.5
1.94,39.6
7.44,77.6
4.95,54.2
3.2,30.3
5.85,75.2
1.66,59.9
0.73,34.7
0.7,19.599
4.66,91.4
7.11,95.3
1.78,47.6
6.08,79.5
0.3,40.3
2.83,57.8
5.23,55.5
6.61,88.7
7.55,71.3
5.06,59.9
3.7,58.9
0.49,68.7
2.21,46.2
7.38,95.7
4.66,59.1
2.74,39.3
1.99,53.4
0.91,55.7
6.01,100
3.3,70.6
7.49,99.1
3.64,71.9
6.55,66.9
1.04,65.1
1.21,63.8
2.19,61.6
1.53,33.2
7.81,93.9
6.47,100
2.79,28.1
4.16,63.7
4.27,52.3
4.86,69.1
0.83,49.9
2.79,45.4
0.69,59.9
7.35,73
3.23,37.6
5.82,93.3
7.37,61.7
2.48,46.8
0.7,46.3
2.69,41.8
5.37,41.8
4,58
0.6,50.4
0.56,55.8
5.6,93.8
5.89,94.1
0.88,23.9
6.36,99.3
2.76,69.3
0.55,23.4
2.67,63.4
5.84,55.9
5.25,48.6
3.85,46.2
2.24,41.5
3.34,53.4
3.05,55.2
3.12,51.6
3.92,61.3
3.64,71.9
0.82,37.1
2.32,52.6
1.03,43.5
4.82,81.7
3.38,50
5.38,82.3
0.7,57.9
2.76,56.2
1.44,46
0.74,43.7
6.19,58.1
1.05,66.6
1.4,43
2.93,71.7
2.34,29.1
7.36,100
7.91,72
3.38,57.2
1.61,61.2
3.98,54.4
3.97,49.7
3.73,71.2
0.16,41.6
1.03,41.7
1.13,37
2.81,37.8
4.65,82.3
7.02,85.1
1.79,71.4
6.17,55.9
1.81,39.4
0.26,56.5
5.2,72.3
1.72,43.4
7.36,97.9
7.47,93.9
0.84,32.8
1.56,40.4
1.68,69.9
7.29,94.9
0.62,62.3
6.01,74.2
2.3,41.7
4.66,63.7
1.42,40.2
6.45,96.2
5.37,73.3
0.17,43.1
1.9,43.8
3.73,68.1
4.25,74.6
6.62,67.8
3.1,55.1
7.41,100
1.55,36.1
6.86,81.3
7.23,81.5
5.01,62.7
7.74,87.2
3.28,50.5
5.59,38.8
0.08,33.4
2.2,37.2
4.53,78.2
7.01,64.2
7.62,76.3
4.64,59.8
6.85,63.9
6.39,64.6
6.19,80.9
0.89,49.8
3.83,47.8
3.89,56.2
6.3,69.3
4.69,70.5
6.56,87.5
7.65,69.1
4.44,52.2
6.33,77.3
4.48,87.6
5.01,80.9
3.81,63.5
7.68,93.5
6.54,100
6.02,84.1
2.64,57.1
3.88,74.1
6.9,100
7.49,65.3
7.91,92.2
5.88,72.4
5.85,71.2
0.75,51.6
6.01,41.1
2.77,45.6
6.92,67.9
0.09,19.599
7.48,81.1
3.87,63
1.02,45.5
4.81,77.3
5.54,59.7
6.24,65.3
5.61,80.2
4.43,50.6
0.66,53.3
6.9,74.5
7.87,68.5
6.22,78.9
0.28,60.3
6.05,90.3
2.16,38.6
7.7,87.2
0.51,47
0.74,46.5
1.45,46.5
6.03,79.6
5.21,60.7
5.82,95.9
2.83,39.3
7.04,79.2
3.57,66.6
1.07,32.3
6.14,80.6
4.24,68.7
4.75,94.6
3.08,59.8
5.69,82.9
0.28,44
3.93,76.7
3.42,57.8
5.97,82.7
2.13,46.9
1.87,51.1
2.56,33.4
3.84,51.3
1.68,29.9
5.47,100
2.65,61.4
3.37,73.8
4.46,66.6
3.02,61.6
5.61,71.3
5.25,65.5
6.05,47.1
4.18,83.7
2.94,58.1
1.61,41.8
3.5,45.1
6.98,76.5
0.97,48
1.72,28.1
5.32,86.4
4.6,73.1
7.33,76.3
0.23,38.3
7.03,100
5.8,81.9
6.2,67.2
3.03,39.5
2.46,71.9
0.12,50.9
6.3,93.6
1.29,33.9
1.81,32.3
2.21,60.6
6.96,81.7
2.3,69.8
3.41,53.2
5.98,63.4
7.14,88.1
6.33,77.9
4.28,71
0.08,41.1
1.26,68
2.03,19.599
3.31,53.8
2.9,21.6
4.12,45.5
3.3,80
5.81,62.3
0.42,27.6
7.91,91.3
6.74,68.1
2.68,59.9
3.17,78.9
7.71,87.2
7.49,82.3
3.15,49.3
0.48,58.6
7.9,100
5.23,70.9
5.54,75.4
2.2,47.1
6.55,75.5
4.46,52.5
3.76,41.9
5.93,68.6
2.98,39.6
3.44,52
5.22,63.5
5.12,67.6
7.77,86.1
4.5,76
2.57,38.8
2.3,45.6
4.27,69.1
0.96,47.9
4.7,72.5
3.12,42.3
2.82,84.8
1.54,75.3
3.96,34.5
0.3,28.5
4.86,53.1
2.28,61.2
7.24,97
4.21,65.4
6.24,83.7
6.81,85.9
7.03,88.4
6.97,70.4
1.8,24.4
2.43,85.6
5.66,88.4
4.3,72
4.87,53.4
5.42,82.4
0.91,41.7
1.35,31.2
5.1,86.6
5,57.9
6.54,54.1
5.55,76.9
1.66,75.3
0.56,52.8
3.13,45
2.97,58.5
6.14,52.9
5.37,40.3
6.98,72.9
4.03,65.1
2.31,36.5
4.03,82.5
1.72,49.4
0.48,27.6
4,73
3.31,51.1
0.26,43.2
5.77,69.5
5.15,74.8
0.59,44.1
5.68,80.3
0.66,47.2
4.14,54
4.98,100
3.99,77.6
5.98,60.5
3.08,56.8
1.7,62.8
3.89,62.5
2.74,63.9
1.21,34.6
3.77,66.3
1.61,49.7
3.76,43.7
4.74,52.7
6.26,88.5
6.83,90.1
5.35,75.2
7.15,85.4
4.46,94.7
5.68,54.8
6.16,92.6
6.6,79.4
6.01,74.4
7.22,71.3
3.78,59.4
7.63,90
3.2,69.4
0.56,36.8
1.46,38.4
4.47,65.9
0.12,44
1.26,60.5
2.99,32.7
4.99,59.3
1.32,24.1
4.6,68.7
5.31,76.4
6.11,99.1
5.28,97.8
2,70.8
7.91,100
7.11,70.5
2.99,55.1
0.23,19.599
4.23,58.2
6.92,74.8
6.58,100
7.18,77.1
7.76,93.4
5.7,87.5
1.3,19.599
0.29,35.9
1.21,36.3
1.61,29.3
0.49,54
3.63,76.1
6.27,86
0.08,43.4
6.43,78.5
7.4,86.9
1.22,54.1
0.17,60.1
3.83,69.1
6.95,59.4
5.89,92.4
0.28,28.6
5.39,75
6.54,82.4
2.17,35.5
5.23,67.2
3.95,58
1.65,37.8
7.21,91.2
1.78,28.9
6.72,74.8
5.61,67.5
1.77,71.6
5.69,49.4
0.21,19.599
1.89,51
2.28,51.5
7.11,62.5
7.32,82.2
2.17,53.4
3.8,70.3
7.85,77.9
5.33,82.3
0.56,35
3.13,55.5
3.37,29.8
2.45,65.6
4.16,60.9
5.89,89.2
5.53,71.2
2.81,56.3
5.89,75.2
4.27,69.6
6.16,64.4
0.91,45.7
3.24,86.8
3.16,46.3
2.81,41.8
5.58,70.8
4.46,70.7
3.09,68.7
4.29,69.3
5.64,92.8
5.4,84.4
6.09,57.5
6.81,99.3
5.92,76.6
1.44,35.9
6.77,74.6
2.66,63.7
5.33,45.2
7.91,71.6
2.36,45.7
2.16,37.3
1.46,65.8
7.87,68.9
3.42,42.2
6.27,63.2
0.39,26.8
1.44,51
0.51,19.599
6.53,61.5
0.85,42.7
7.39,71.1
5.31,75
7.28,100
3.27,61.8
4.21,56.1
0.22,35.4
3.73,50.5
4.73,65.2
0.8,87
7.85,61.1
0.08,19.599
2.14,68.8
4.92,72
3.98,67.8
1.91,48.7
7.89,92.6
1.51,67.2
4.55,70.2
0.93,35.1
0.45,57.5
3.9,77.2
6.44,80.9
4.25,66.2
2.35,71.7
0.13,45
7.52,100
1.7,43.6
4.6,85
0.12,51.2
0.78,63.5
1.36,69.5
0.9,42.5
4.25,55.3
3.18,40.5
6.41,89.5
0.93,42.1
3.45,71.8
3.43,83.9
1.85,37.3
0.77,55.9
0.09,33.1
0.15,52.2
3.19,31.7
0.43,48.3
3.16,33.6
3.5,64.4
3.56,55
1.53,53.1
3.99,83.1
3.14,36.7
7.91,85.5
0.36,34.1
0.43,67.7
6.6,86.5
2.13,44.1
1.47,51.2
7,60.9
4.26,81.6
4.93,65.8
0.08,29.9
2.09,42.6
2.07,33.9
6.09,52.8
3.08,58.2
4.62,49
7.46,79.3
7.88,100
1.02,30.8
4.45,69.1
5.59,63.3
6.26,63.1
7.36,100
5.83,76.5
5.52,74.8
0.43,19.6
4.36,70.2
4.79,70.5
5.57,59.4
4.67,80.6
3.28,38.7
3.9,75.2
7.74,93.1
2.63,65.7
6.28,75.3
4.86,43.8
3.55,56.3
3.31,58.3
4.3,54.8
6.4,71.8
0.98,72.9
7.29,91.4
6.19,76.7
2.79,54.8
0.08,42.8
0.84,43
1.16,30.8
0.83,57
0.82,48.7
7.68,79.6
5.27,62.9
6.57,85.4
4.5,65.2
4.96,83.8
7.05,58.7
2.1,49.9
5.56,61.8
7.19,100
7.49,87.4
3.55,52.8
6.85,78.1
4.03,63.8
2.06,54.2
2.01,71.1
3.61,41.5
2.06,41.9
0.24,51.9
0.84,23.1
6.79,59.7
7.06,81.9
6.98,76.1
4.43,70.4
7.48,75.3
3.99,78.7
3.7,47.2
3.8,58.8
2.03,47.2
4.91,62
3.59,71
7.8,95.3
1.38,70.4
0.61,36.8
2.81,62.7
1.72,41.7
7.91,78.2
4.47,77
2.88,59.5
5.14,78
3.62,91.2
1.67,19.599
3.16,58.9
2.29,56.9
5.1,62.3
6.53,59.4
2.1,51
4.97,92.7
5.67,84.8
2.96,60.6
3.9,66.1
2.87,75.4
2.98,46.4
3.57,84.7
2.36,73.1
3.91,88.1
6.02,75
3.15,100
7.56,90.5
1.74,66.1
3.6,65.4
4.81,70.6
4.35,59.7
7.58,83.9
2.59,67.3
3.02,58.3
4.77,84.9
4.77,84.3
6.3,76.3
6.36,77.6
0.09,51.2
6.11,100
5.74,69.9
4.69,73.8
2.54,59.3
7.26,72.7
5.91,68.9
2.06,38.1
2.44,39.1
5.68,63
7.34,76.6
3.92,76.4
7.03,72.3
3.06,82.1
3.16,55.1
5.49,77.4
0.4,72.7
1.11,24.5
5.83,100
1.94,44.1
1.4,21.2
0.71,38.5
1.8,75.1
2,64.9
2.73,32.1
7.51,75
5.16,73.2
5.55,62.3
1.06,61.3
1.54,62.3
7.19,74.3
5.07,62.8
6.48,72.9
2.86,36.4
4.62,44.2
4.02,85.5
1.64,55.8
6.6,93.7
2.67,63.6
3.74,53.3
1.06,19.599
5.11,93.8
6.33,94.6
3.28,42.3
7.83,72
2.06,44
6.98,76.2
5.77,74.2
7.42,85
5.93,90
3.96,91
3.31,60.3
6.64,96.9
6.72,79.5
4.71,66.3
5.62,54.2
3.7,79.3
1.75,61.5
0.4,22.3
5.23,65.5
5.35,76.7
5.32,53.7
4.5,49.3
2.74,59.3
1.94,31.9
0.53,43.8
1.18,40.1
5.03,72.1
6.14,99.6
7.26,87.4
0.67,38.9
6.51,88.4
4.78,71.4
2.41,44.6
5.81,35.2
7.91,100
3.04,47.6
5.02,78
2.09,70.3
1.64,46.6
1.19,60.3
0.26,51.9
5.79,90.4
1.17,34.7
5.41,85.7
6.96,79
6.77,94.7
2.39,29.5
1,49.1
3.54,65.5
1.45,48.8
2.99,62.6
4.55,50.3
5.15,75.5
1.75,58.8
1.82,24
6.93,63.3
7.56,86.2
5.14,93.3
4.45,73.4
5.26,66.5
1.03,30.9
7.18,100
1.67,39.3
5.36,64.6
1.78,46.7
5.65,75.2
6.03,61.6
5.93,66.9
3.43,85.6
4.86,58.3
4.78,87.2
5.76,100
3.99,49.6
4.06,68.1
5.48,72.5
1.36,29.3
5.22,59.4
1.19,71.7
5.8,71
3.11,49.4
6.72,89.9
0.71,39.1
3.68,60.7
1.34,57.4
6.95,91.5
1,57.7
3.88,60.5
0.84,71.3
6.38,82.8
2.26,39.3
4.75,76.5
1.36,40.6
2.81,46
0.91,62.6
4.41,62.2
0.08,47.6
7.91,86.9
3.33,54.8
5.04,62.3
2.29,30.9
2.03,67.4
6.77,92.1
6.07,84.3
5.15,45.3
6.02,71.1
1.4,45.7
7.47,85.1
3.64,84
6.95,85.5
5.89,84.9
2.29,44.5
4.55,62
7.73,81.8
0.3,33.8
3.41,46.7
4.96,92.9
2.72,48.8
2.54,62.4
5.99,93.5
7.33,100
4.3,72.6
7.59,100
0.81,52.1
1.82,67.1
0.7,32.7
3.48,59.2
5.01,58.4
1.6,62.8
3.59,73.6
5.48,34.2
5.12,86.3
5.03,66.8
4.85,63.6
7.89,86.6
5.71,76.5
7.26,85.7
7.61,62.1
6.88,74.2
0.76,32.6
4.23,75.5
3.05,49.5
0.78,68.1
4.51,71.3
1.7,50.4
4.65,54.9
6.54,89.3
3.15,38.2
7.6,77
6.13,68.3
6.43,74.6
0.9,41.9
7.53,91.6
0.28,40.1
6.75,76.9
0.24,38.2
1.3,34
2.52,26.5
5.9,87.7
7.2,99
5.33,53.1
5.82,81.6
2.32,62.2
7.8,100
3.26,42.6
7.3,66.2
6.23,58.2
2.94,29.9
2.75,55
5.44,43.2
7.52,75.7
5.38,85.4
6.86,51
7.73,77.7
2.64,37.6
4.31,51.8
4.87,69.2
1.74,65.7
6.38,59.9
2.09,29.3
5.65,74.4
4.19,74.3
6.69,81.1
4.09,38.6
4.69,56.3
1.45,46.6
6.47,74.7
3.22,70
4.64,66.5
6.77,75.2
3.84,52.2
2.2,31.1
2.12,33.4
4.53,79.5
2.33,62.1
2.71,60.4
1.88,52.4
3.57,53.7
3.73,54.3
4.21,71.6
4.74,62.8
4.7,58.5
2.94,83
7.21,80.2
4.09,53.7
6.66,68.5
4.46,61.7
2.96,63.9
5.91,58.4
1.42,24.5
7.76,98.9
4.58,85.2
0.83,32.5
3.37,43.1
5.7,81.2
0.54,43.8
2.09,52.1
7.39,63.5
2.85,64.1
1.27,46.9
0.79,72.7
4.95,46.7
4.47,67
5.18,84.4
7.66,100
0.48,32.3
1.58,45.2
1.87,68.1
3.42,61.4
0.97,51.5
3.28,72.5
6.53,78.1
1.31,46.8
7.33,82.3
7.29,91.6
4.1,78.4
6.88,81.1
5.69,71
2.85,61.3
4.49,44.2
0.93,43.1
3.97,28.4
6.64,100
4.68,66.9
3.06,46.2
5.31,83.8
7.81,90.6
0.54,56.9
2.64,47
1.25,30.9
7.66,87.3
4.37,54.7
1.04,34.1
4.9,63.5
4,41.8
0.47,41.6
6.92,76
5.67,77.7
0.08,25.1
7.68,94.8
1.27,22.2
0.08,29.4
3.42,33
1.13,24.5
4.56,71.4
2.49,34.7
1.48,38.1
7.88,76.2
2.66,49.2
3.32,55.4
2.35,48.5
6.7,71.8
1.57,50.9
1.02,49.2
7.05,68.9
1.47,28.9
6.86,74.6
4.63,50.4
6.59,70
0.56,29.2
7.71,88.8
2.4,70.1
0.47,56.8
6.12,45.3
1.43,60.6
2.81,46.5
4.76,78.7
0.55,48.2
1.62,51.6
3.91,82.2
3.38,61.3
4.46,72.9
5.83,88.8
2.82,38.4
3.24,59.7
2.18,54
2.72,73.6
0.41,55.9
4.64,46.7
1.38,57.5
5.73,81.2
0.34,42.7
0.48,58.9
2.28,80.7
3.51,47.1
5.55,73.6
5.54,77.3
7.79,89.2
2.81,51.3
0.47,33.2
6.89,76.4
5.85,64.5
0.54,70.7
0.67,40.4
3.81,73.6
2.73,47.1
4.77,36.4
1.75,62.9
7.67,76.3
4.1,67.1
6.01,71.4
1.01,59.6
4.94,65.3
6.92,63.1
0.18,62.2
4.32,76.3
1.97,63.4
3.83,72.8
6.53,93.4
5.52,83.1
6.04,100
1.69,19.599
6.66,63.9
4.91,72.4
0.55,66.1
6.9,79.8
0.45,65.2
0.23,58.1
6.67,91.5
0.1,48.5
0.71,54.9
0.14,48
7.04,58.9
0.36,46.1
2.98,64
1.74,45.3
2.73,44
2.32,77.8
7.1,71.2
6.15,77.7
7.08,83.8
5.76,43.1
2.64,50.9
1.49,46.2
4.24,64.2
2.85,72.6
5.15,74
0.31,49.7
5.7,65.9
2.4,53.5
3.7,52.4
7.83,100
1.72,58.1
0.94,32.9
1.68,42.1
2.81,48.3
4.29,68.5
7.84,96.7
6.96,77.8
5.72,64.5
5.76,57.6
2.27,59.8
7.42,81.4
4.32,68.3
1.3,23.6
7.6,94.9
4.05,70.6
1.24,59.2
5.88,59.4
1.87,20.7
1.5,46.7
2.14,40.8
4.63,80.1
2.34,62
0.33,19.599
3.1,35.9
1.88,56.3
4.09,59.5
3.68,59.7
0.62,35.8
1.96,67.6
2.25,57.9
3.88,71.5
6.58,70.9
1.75,34.6
1.27,68.3
0.08,43.2
4.85,70.2
2.61,53.7
5.36,90.3
5.52,68.9
0.36,61.7
3.35,55
7.74,60.3
2.2,35.5
4.24,69.5
4.3,45
2.08,50.5
6.23,74.9
0.08,35.8
1.81,71.5
4.74,64
7.34,58.5
0.08,68.3
4.81,67.8
0.08,60.4
4.98,60.7
3.29,35.6
3.48,31
7.74,63.4
5.46,69.7
1.57,40.4
7.91,100
2.05,43.8
5.49,35.4
5.44,98.2
6.8,94.6
3.19,47.5
5.57,57
5.01,68.8
3.49,77.2
7.33,64.4
2.02,54.8
1.79,46.2
5.04,80.3
1.52,27
6.64,69.5
2.72,50.8
3.37,100
5.46,68.1
7.08,76.8
5.52,75.8
0.75,38.3
2.7,50.4
6,87.2
7.26,97.5
5.07,69
4.77,91.3
3.03,48.4
3.82,50
3.46,70.7
0.44,56.4
0.17,21.1
4.94,72.6
4.08,65.8
1.96,60.4
7.14,79.6
1.65,44.8
5.6,65.3
6.31,78.3
6.72,78.8
6.72,68.8
6.35,95.4
3.66,60.5
4.99,91
6.86,92.4
3.36,55
5.37,74.2
1.28,49.7
4.52,73.4
1.13,40.6
5.28,72.6
3.01,48.5
1.82,50.4
2.89,54.6
5.61,62
7.26,52.9
0.09,52.9
1.34,45.3
5.65,84
4.55,87.4
2.55,67.5
5.21,60.6
